,Rain forecasts,,
DATE,TriCities,Prosser,Othello
8/31/2023,0.03,0.07,0.02
9/1/2023,0,0,0
9/2/2023,0,0,0
9/3/2023,0.01,0,0
9/4/2023,0,0,0
9/5/2023,0.02,0.02,0.03
9/6/2023,0.02,0.01,0.03
9/7/2023,0.01,0.01,0.01
9/8/2023,0.04,0.05,0.04
9/9/2023,0.01,0.04,0
9/10/2023,0.05,0.05,0.03
9/11/2023,0,0,0
9/12/2023,0,0,0
9/13/2023,0,0.08,0.02
9/14/2023,0.02,0.04,0.01
9/15/2023,0.04,0.05,0.04
9/16/2023,0.05,0.05,0.04
9/17/2023,0.05,0.06,0.05
9/18/2023,0.04,0.05,0.04
9/19/2023,0.03,0.04,0.04
9/20/2023,0.04,0.04,0.04
9/21/2023,0.05,0.07,0.06
9/22/2023,0,0.01,0.04
9/23/2023,0,0.04,0.03
9/24/2023,0,0,0.01
9/25/2023,0,0.01,0
9/26/2023,0.01,0.01,0.01
9/27/2023,0,0.07,0.01
9/28/2023,0.04,0.1,0.04
9/29/2023,0.06,0.09,0.05
9/30/2023,0.05,0.05,0.05
10/1/2023,0.05,0.06,0.05
10/2/2023,0.1,0.08,0.13
10/3/2023,0.05,0.09,0.08
10/4/2023,0.05,0.05,0.04
10/5/2023,0.04,0.05,0.04
